_id, type, name, latitude, longitude
376217, location, Berlin, 52.52437, 13.41053
448103, location, Berlingo, 45.50298, 10.04366
425332, location, Berlingerode, 51.45775, 10.2384
425326, location, Bernau bei Berlin, 52.67982, 13.58708
314826, airport, Berlin Tegel, 52.5548, 13.28903
314827, airport, Berlin Schönefeld, 52.3887261, 13.5180874
334196, station, Berlin Hbf, 52.525589, 13.369548
333977, station, Berlin Ostbahnhof, 52.510972, 13.434567
380553, location, London, 51.50853, -0.12574
441278, location, Londonderry, 54.9981, -7.30934
412771, location, London Borough of Bromley, 51.40606, 0.01519
441793, location, London Borough of Ealing, 51.51216, -0.30204
315090, airport, London Gatwick, 51.160465240478516, -0.17620690166950226
315110, airport, London Heathrow, 51.4708554, -0.452638
319635, station, London Kings Cross, 51.5322147, -0.1236132
319642, station, London Victoria, 51.4951254, -0.1441889
379727, location, Paris, 48.85341, 2.3488
379354, location, Cormeilles-en-Parisis, 48.97111, 2.20491
379890, location, Seyssinet-Pariset, 45.17676, 5.69387
436776, location, Le Touquet-Paris-Plage, 50.52432, 1.58571
315042, airport, Paris Charles De Gaulle, 49.0029701, 2.577134
315043, airport, Paris Orly, 48.72613, 2.364111
406057, location, Stockholm, 59.33258, 18.0649
315031, airport, Stockholm Arlanda, 59.65213, 17.93175
315033, airport, Stockholm Skavsta, 58.78273, 16.92349
314929, airport, Stockholm Bromma, 59.35618, 17.93779
